category,title,info,roadAddress,lotNumberAddress,categoryName,homepage,image
맛집,고성막국수,물막국수,서울 강서구 방화대로49길 6-7,방화동 323-6복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_129%2F1441002477831cxVb6_JPEG%2F156155408476649_2.jpg
맛집,강촌숯불닭갈비 본점,양념 숯불 닭갈비,서울 구로구 공원로6나길 35-2,구로동 29-22복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160203_199%2F1454484470201kHv3f_JPEG%2F176153565768957_0.jpg
맛집,덕원,꼬리곰탕,서울 영등포구 버드나루로6길 6,영등포동2가 94-28복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_268%2F14410210670206JSyM_JPEG%2F156155413934779_0.jpg
맛집,길풍식당,꼬리탕,서울 영등포구 양평로 118,양평동4가 116복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221128_292%2F1669593949032ctHOL_JPEG%2F%25B1%25E6%25C7%25B3%25BD%25C4%25B4%25E7_1.JPG
맛집,대관원,삼선간짜장,서울 영등포구 당산로37길 1,당산동4가 48-1복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_137%2F1604633327838bw5cr_JPEG%2F%25B4%25EB%25B0%25FC%25BF%25F8%25B0%25CB%25C1%25A4.jpg
맛집,당산마루 능이버섯삼계탕,능이버섯삼계탕,서울 영등포구 선유로54길 9 1층 당산마루,당산동6가 345-13복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230504_84%2F1683165200609edmvc_JPEG%2F20230503_171804.jpg
맛집,동일루,찹쌀탕수육 소,서울 마포구 포은로 75 1층,망원동 395-4복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_146%2F1441085707689MOMYE_JPEG%2F166378567972082_0.jpeg
맛집,프롬하노이,퍼보,서울 마포구 월드컵로13길 55-5 1층 프롬하노이,망원동 57-187복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220217_193%2F1645057083336xx1mF_JPEG%2F20220126_153218.jpg
맛집,소금집델리 망원,잠봉뵈르 샌드위치,서울 마포구 월드컵로19길 14 2층,망원동 57-38복,서울,['http://www.salthousekorea.com'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230718_192%2F1689664984992EqXeJ_PNG%2F%25BC%25D2%25B1%25DD%25C1%25FD_%25BD%25C5%25B1%25D4%25B7%25CE%25B0%25ED.png
맛집,대문점,오향족발,서울 영등포구 영중로10길 30,영등포동3가 15-4복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_277%2F1441007528643kWlDU_JPEG%2F11623952_0.jpg
